Timestamp,Poids (kg)
2025-03-23T00:21:57.717,-615.780
2025-03-23T00:21:57.733,-614.680
2025-03-23T00:21:57.749,-614.680
2025-03-23T00:21:57.765,-615.780
2025-03-23T00:21:57.781,-615.780
2025-03-23T00:21:57.798,-622.440
2025-03-23T00:21:57.813,-622.440
2025-03-23T00:21:57.829,-606.900
2025-03-23T00:21:57.845,-606.900
2025-03-23T00:21:57.861,-606.900
2025-03-23T00:21:57.877,-606.900
2025-03-23T00:21:57.893,-625.780
2025-03-23T00:21:57.909,-625.780
2025-03-23T00:21:57.925,-626.900
2025-03-23T00:21:57.941,-626.900
2025-03-23T00:21:57.957,-625.780
2025-03-23T00:21:57.973,-625.780
2025-03-23T00:21:57.989,-624.680
2025-03-23T00:21:58.005,-610.780
2025-03-23T00:21:58.021,-610.780
2025-03-23T00:21:58.037,-600.780
2025-03-23T00:21:58.053,-600.780
2025-03-23T00:21:58.069,-600.780
2025-03-23T00:21:58.085,-600.780
2025-03-23T00:21:58.101,-606.900
2025-03-23T00:21:58.117,-606.900
2025-03-23T00:21:58.133,-623.560
2025-03-23T00:21:58.149,-623.560
2025-03-23T00:21:58.165,-644.680
2025-03-23T00:21:58.181,-644.680
2025-03-23T00:21:58.197,-643.560
2025-03-23T00:21:58.213,-643.560
2025-03-23T00:21:58.229,-633.000
2025-03-23T00:21:58.245,-605.220
2025-03-23T00:21:58.261,-605.220
2025-03-23T00:21:58.277,-594.680
2025-03-23T00:21:58.293,-594.680
2025-03-23T00:21:58.309,-616.900
2025-03-23T00:21:58.325,-616.900
2025-03-23T00:21:58.341,-629.680
2025-03-23T00:21:58.357,-629.680
2025-03-23T00:21:58.373,-638.000
2025-03-23T00:21:58.389,-638.000
2025-03-23T00:21:58.405,-630.220
2025-03-23T00:21:58.421,-630.220
2025-03-23T00:21:58.437,-620.220
2025-03-23T00:21:58.452,-620.220
2025-03-23T00:21:58.468,-619.120
2025-03-23T00:21:58.485,-618.000
2025-03-23T00:21:58.501,-618.000
2025-03-23T00:21:58.516,-630.780
2025-03-23T00:21:58.533,-630.780
2025-03-23T00:21:58.548,-645.780
2025-03-23T00:21:58.564,-645.780
2025-03-23T00:21:58.581,-653.560
2025-03-23T00:21:58.597,-653.560
2025-03-23T00:21:58.612,-654.680
2025-03-23T00:21:58.629,-654.680
2025-03-23T00:21:58.644,-653.560
2025-03-23T00:21:58.661,-653.560
2025-03-23T00:21:58.677,-630.220
2025-03-23T00:21:58.693,-618.000
2025-03-23T00:21:58.709,-618.000
2025-03-23T00:21:58.724,-616.900
2025-03-23T00:21:58.740,-616.900
2025-03-23T00:21:58.756,-599.680
2025-03-23T00:21:58.773,-599.680
2025-03-23T00:21:58.789,-599.680
2025-03-23T00:21:58.805,-599.680
2025-03-23T00:21:58.820,-610.220
2025-03-23T00:21:58.837,-610.220
2025-03-23T00:21:58.852,-625.780
2025-03-23T00:21:58.869,-625.780
2025-03-23T00:21:58.901,-636.340
2025-03-23T00:21:58.932,-625.220
2025-03-23T00:21:58.948,-631.340
2025-03-23T00:21:58.964,-638.560
2025-03-23T00:21:58.981,-638.560
2025-03-23T00:21:58.997,-619.680
2025-03-23T00:21:59.013,-619.680
2025-03-23T00:21:59.028,-607.440
2025-03-23T00:21:59.044,-607.440
2025-03-23T00:21:59.060,-624.120
2025-03-23T00:21:59.077,-624.120
2025-03-23T00:21:59.093,-645.220
2025-03-23T00:21:59.108,-645.220
2025-03-23T00:21:59.124,-639.120
2025-03-23T00:21:59.140,-639.120
2025-03-23T00:21:59.156,-621.900
2025-03-23T00:21:59.172,-621.900
2025-03-23T00:21:59.188,-611.900
2025-03-23T00:21:59.204,-613.000
2025-03-23T00:21:59.220,-613.000
2025-03-23T00:21:59.236,-639.120
2025-03-23T00:21:59.252,-639.120
2025-03-23T00:21:59.268,-640.220
2025-03-23T00:21:59.284,-640.220
2025-03-23T00:21:59.300,-620.220
2025-03-23T00:21:59.316,-620.220
2025-03-23T00:21:59.332,-608.000
2025-03-23T00:21:59.348,-608.000
2025-03-23T00:21:59.364,-609.120
2025-03-23T00:21:59.380,-609.120
2025-03-23T00:21:59.396,-609.120
2025-03-23T00:21:59.412,-609.120
2025-03-23T00:21:59.428,-608.000
2025-03-23T00:21:59.444,-591.900
2025-03-23T00:21:59.460,-591.900
2025-03-23T00:21:59.476,-590.780
2025-03-23T00:21:59.492,-590.780
2025-03-23T00:21:59.508,-608.560
2025-03-23T00:21:59.524,-608.560
2025-03-23T00:21:59.540,-641.900
2025-03-23T00:21:59.556,-641.900
2025-03-23T00:21:59.572,-643.000
2025-03-23T00:21:59.588,-643.000
2025-03-23T00:21:59.604,-616.340
2025-03-23T00:21:59.620,-616.340
2025-03-23T00:21:59.636,-594.680
2025-03-23T00:21:59.652,-594.680
2025-03-23T00:21:59.668,-600.780
2025-03-23T00:21:59.684,-611.340
2025-03-23T00:21:59.700,-611.340
2025-03-23T00:21:59.716,-610.220
2025-03-23T00:21:59.732,-610.220
2025-03-23T00:21:59.748,-610.220
2025-03-23T00:21:59.764,-610.220
2025-03-23T00:21:59.780,-625.220
2025-03-23T00:21:59.796,-625.220
2025-03-23T00:21:59.812,-652.440
2025-03-23T00:21:59.828,-652.440
2025-03-23T00:21:59.844,623.280
2025-03-23T00:21:59.860,623.280
2025-03-23T00:21:59.876,602.160
2025-03-23T00:21:59.892,602.160
2025-03-23T00:21:59.908,567.160
2025-03-23T00:21:59.924,521.600
2025-03-23T00:21:59.940,521.600
2025-03-23T00:21:59.956,496.600
2025-03-23T00:21:59.972,496.600
2025-03-23T00:21:59.988,539.940
2025-03-23T00:22:00.004,539.940
2025-03-23T00:22:00.020,-634.680
2025-03-23T00:22:00.036,-634.680
